1:normal           | —
2:normal           | —
3:normal           | —
4:removed          | —
4:added            | —
5:normal           | —
6:normal           | —
7:removed          | —
7:added            | —
8:normal           | —
9:normal           | —
14:removed         | —
14:added           | —
15:normal          | —
16:normal          | —
17:normal          | —
18:removed         | —
18:added           | —
19:normal          | —
24:normal          | —
24:removed         | —
25:added           | —
26:added           | —
27:normal          | —
28:normal          | —
29:normal          | —
